2019-11-04 21:00:16.993833
Time,Poor Signal Level,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
2,25,0,0,50122,3085,1305,1327,1415,706,231,108
3,25,0,0,1085056,29148,41851,32716,13657,6451,9860,5801
4,0,0,0,2276390,212553,20264,29107,31642,10712,8171,2619
5,0,0,0,1726515,861001,171063,20915,22933,13833,9885,3465
6,0,40,37,707644,147488,62608,32415,29548,4539,3026,2663
7,0,35,54,957698,38209,6430,3756,1831,3696,2406,1415
8,0,27,67,103159,8434,1736,772,1819,698,1864,1101
9,0,21,69,13792,21162,3640,1416,2162,589,501,187
10,0,23,78,129291,11751,7415,962,1162,740,214,187
11,0,27,64,652325,325016,77238,39528,10437,12442,5310,2675
12,0,34,63,1103014,107166,32463,23232,12882,8440,4870,2435
13,0,29,60,1440697,605044,72825,21655,17824,12400,6059,2771
14,0,20,64,522200,141362,28739,11306,4158,9289,1576,630
15,0,14,84,1034059,35969,4955,5024,3913,6027,2543,830
16,0,8,75,1231323,367780,38864,31097,4430,11770,2502,4011
17,0,10,84,599807,368858,38019,31180,11742,17172,6206,2888
18,0,7,78,63869,46512,3496,6069,4505,1710,634,342
19,0,1,53,2720350,553288,20709,7846,14533,11989,9016,1542
20,0,14,56,121422,7951,7522,1941,571,584,370,144
21,0,23,66,2189655,619374,128152,106518,16337,65713,12534,4363
22,0,13,66,1046700,367088,13043,3062,11991,11529,9054,2980
23,0,41,78,1670537,116239,97012,57707,19743,13509,7185,5115
24,0,30,84,2053831,233439,39326,52418,29582,19002,10955,9660
25,0,30,81,823890,236298,78820,19375,3172,19336,7971,4078
26,0,57,90,121214,83048,60014,17594,12756,8423,2718,1114
27,0,48,78,992096,415662,151810,9831,37087,12878,5651,1566
28,0,53,67,91780,38018,14921,10252,5133,1898,926,851
29,0,44,67,1449137,196732,11706,20224,34584,13220,4521,1512
30,0,30,56,1468673,465909,61821,42302,14938,13514,4472,5555
31,0,21,38,481556,149357,3578,13904,1842,944,1696,598
32,0,16,44,106097,16565,3374,3265,1239,1074,342,240
33,0,29,44,2331019,192570,78556,44589,30909,15689,7383,5001
34,0,29,29,60469,131171,14751,13607,2638,1217,1670,1283
35,0,48,63,498440,45503,40798,18793,13187,7404,1349,699
36,0,54,57,151045,10610,4238,4133,639,619,993,551
37,0,48,34,301984,171600,30615,8863,6307,1623,2386,848
38,0,60,60,121135,11171,9489,1347,2448,1176,484,449
39,0,44,34,314579,203136,33507,5821,20227,2432,2775,895
40,0,38,41,642142,86547,28282,4624,4825,6861,1000,576
41,0,44,67,386268,51301,20920,6890,3447,4697,1126,1703
42,0,30,57,1229496,232092,17318,20289,5067,7769,3824,3130
43,0,29,64,179559,1218410,182638,27361,19720,21532,14652,8190
44,0,23,47,334008,140189,13014,13231,1711,2436,2049,685
45,0,8,40,1146345,424332,26192,16593,26195,18007,4519,2090
46,0,24,43,2134503,111332,112980,29835,10957,9909,3422,1677
47,0,35,60,1963546,243681,73927,58384,13619,18491,4782,3319
48,0,34,61,200947,275553,37630,5993,9637,5199,2540,1104
49,0,40,75,907526,99039,16832,4402,12867,12302,2200,2462
50,0,37,91,717165,57930,62003,8869,14933,21390,3582,1193
51,0,24,77,796948,569975,20426,63133,30292,11060,9305,2792
