2019-11-06 14:13:39.773761
Time,Signal,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
2,25,0,0,222553,9947,5611,3412,2475,1223,525,726
3,25,0,0,889943,196727,81828,88559,5028,7335,3329,6400
4,0,0,0,753257,175179,61560,41731,18339,15004,9232,1824
5,0,0,0,367940,32171,15451,12342,9967,4628,649,721
6,0,53,30,716972,98879,164483,7273,10105,3008,2189,3057
7,0,35,27,359676,255377,49087,26944,7368,5268,3057,1027
8,0,16,17,110973,44214,9700,2166,564,478,1036,207
9,0,11,34,211097,190899,72128,66028,56236,38463,3816,3661
10,0,1,44,292226,36891,4686,6277,6408,1327,1081,650
11,0,20,54,1030544,21887,15632,71483,7610,5353,2288,609
12,0,20,54,443986,233378,36635,15151,7775,2343,2984,1596
13,0,14,35,174169,124394,28504,17153,10391,2310,1386,958
14,0,20,30,1616362,142133,33552,14235,5780,4069,2341,1133
15,0,1,26,258512,215915,19556,12552,5873,7333,1181,1564
16,0,1,37,294180,84622,26983,30952,6480,3304,1480,3191
17,0,3,53,147415,99601,16028,17104,15429,12053,3002,547
18,0,1,50,716227,161057,13070,7115,5995,2631,3563,1030
19,0,17,50,80211,28825,14867,2025,2476,1348,695,377
20,0,13,44,814475,168680,61296,15428,11768,3514,829,914
21,0,34,30,128669,13589,3686,11935,1495,601,302,373
22,0,34,29,293120,343841,20748,4567,13865,4500,1811,663
23,0,24,35,325558,176555,35933,4832,9002,10289,1458,775
24,0,23,35,312763,188877,24068,31453,3543,3634,1831,699
25,0,7,35,457613,120096,16540,11006,11953,3310,2238,1059
26,0,23,35,1530152,219848,62008,9450,13592,3558,4312,1731
27,0,26,21,53231,57887,11107,5662,3536,854,822,468
28,0,23,26,524906,211570,12515,37575,9372,7251,4569,4149
29,0,43,34,595738,70792,57166,25420,9362,6002,2504,1233
30,0,35,47,642261,90773,2980,12068,6781,4754,1983,1901
31,0,44,66,588060,122306,45993,62040,8686,18473,4548,2411
32,0,44,66,1228717,59406,11673,9915,21810,23088,1960,1290
33,26,48,60,303425,219575,35927,22055,2164,3585,2120,1096
34,0,48,60,510904,12515,4551,3079,17669,8496,1366,454
35,26,27,53,874186,178914,11245,22822,15009,4081,3921,2458
36,0,21,43,191559,312164,9561,18107,7776,6100,1452,2922
37,0,14,27,231870,111875,31277,17855,3798,3101,2174,1992
38,0,34,40,440502,22989,26643,30798,15161,3209,2550,1247
39,0,43,64,1220904,178090,50109,62538,42814,69251,4002,4188
40,0,43,64,1883443,78915,74442,5378,18089,20592,3477,1978
41,51,43,64,396607,9144,1959,5507,2942,2365,642,366
42,26,56,78,775402,131977,22529,27665,15551,13202,4416,1180
43,0,50,81,299845,51264,8620,3238,4423,1910,792,624
44,0,24,67,626965,201478,16083,21844,13247,2422,2662,1980
45,0,16,57,672547,17480,2161,1529,2943,1781,396,108
46,0,41,53,662030,23097,95136,12609,2869,6003,2113,577
47,0,47,51,447604,148123,39360,14188,14028,5349,2259,5217
48,0,43,60,211487,136122,10623,8507,4526,3474,877,521
49,0,47,41,310463,217992,48050,11528,10614,4023,2685,630
50,0,35,47,471232,31382,38764,12892,5673,6064,2927,1251
51,0,26,40,220645,57583,1603,7966,2971,1005,1329,315
52,0,20,30,62120,105564,2282,4794,2534,949,884,558
53,0,21,38,783838,293847,91254,5781,13990,11896,2350,1763
54,0,1,24,289786,111725,2415,12464,4467,2028,1494,785
55,0,11,35,208680,45266,27663,957,1491,3411,2157,506
56,0,23,38,226192,87467,14660,1675,1449,1012,2162,1176
57,0,17,41,623725,149491,10546,18233,21758,7977,2488,6173
58,0,30,50,544411,233818,35920,91779,24943,12472,8633,4022
59,0,26,66,31253,5413,2759,622,1929,3302,1133,908
60,0,38,87,12135,20531,17932,2350,6896,3635,2799,1885
61,0,51,100,18642,10748,18341,1974,4052,13667,4625,3272
62,0,51,100,56162,20448,3222,9070,3296,4110,2446,2029
63,0,56,100,71807,14060,8291,2208,4351,4249,752,1175
64,0,60,100,20892,19286,22832,6614,7995,4763,3184,1802
65,0,57,97,890129,65767,13106,44472,9891,23448,2335,1991
66,0,57,96,156349,46555,12104,15692,8243,9485,1713,1425
67,0,57,81,871340,48379,13927,9995,2371,2357,1106,2210
68,0,37,67,376609,536834,57359,13212,12354,14702,5961,1742
69,0,30,51,2959650,245294,73391,25236,9040,9139,9773,2638
70,0,24,44,712782,75674,13887,6181,5579,5418,4053,1145
71,0,30,53,184525,19286,19676,11319,10010,4543,2622,2019
72,0,24,74,97330,11113,663,418,2742,2734,1375,398
73,0,23,81,65215,18230,4836,1975,2580,1777,1276,974
74,0,26,90,38190,36872,10840,8474,14641,7693,2409,1347
75,0,11,87,1704304,349107,15206,61357,24205,23420,8996,2985
76,0,23,69,1662933,580300,68083,55927,111498,24905,11883,1809
77,0,16,64,927587,966888,162655,30768,56853,37380,8901,1487
78,0,16,61,305275,116681,15696,45016,34466,18825,7439,776
79,0,29,57,620647,61760,40046,12043,2900,3751,933,778
80,0,35,47,759654,49710,8842,7021,4190,728,1519,441
81,0,43,41,850445,173505,51533,18964,3920,4737,2064,1217
82,0,26,23,402042,49908,2610,766,4345,801,358,351
83,0,23,13,25372,43285,20205,2674,540,937,214,536
84,0,23,23,268764,36047,7502,4899,3708,1491,820,673
85,0,4,26,580409,165726,1338,5067,8656,4354,1149,2191
86,0,14,23,397134,392611,34153,14221,5100,4476,1595,2153
87,0,1,23,105579,80264,4490,3075,1562,1259,379,377
88,0,4,30,615706,162702,53853,22337,17690,18873,3078,791
89,0,4,30,1375886,7394,1466,4852,3035,2501,995,950
90,26,21,38,1542680,351609,54997,41906,23032,21782,19503,5121
91,0,27,48,193315,86009,15505,5365,745,3364,649,193
92,0,30,75,2377720,96509,5452,11515,22007,32253,3704,3608
93,0,29,74,1715198,93229,30444,21278,30442,10837,2426,1114
94,0,43,78,474840,48654,50883,6420,7951,7259,4822,1116
95,0,60,90,1066671,20421,6900,45738,6406,8189,5063,2228
96,0,61,75,860079,244985,33089,15097,9455,15584,6216,2817
97,0,61,75,1515521,232461,135024,175696,181720,73702,7490,4606
98,51,66,78,839429,171284,132759,67326,128941,37827,26786,7094
99,0,66,78,2117342,63433,2214,21606,10180,10115,6244,2190
100,26,66,78,1324799,106989,15946,44007,31292,22037,3993,992
101,26,57,78,223434,13907,3659,2151,1652,1663,909,101
102,0,54,75,826703,24241,26463,5922,4251,4510,613,339
103,0,50,66,57155,63067,2687,4356,1566,1409,623,205
104,0,38,57,1393932,595663,82746,32692,65976,27587,7856,2518
105,0,35,54,240671,21304,2223,3444,3328,1773,1126,459
106,0,17,50,310099,661670,93084,28402,42853,31192,3209,941
107,0,27,56,303843,124807,31648,10677,16359,7220,2316,1199
108,0,27,56,1058202,44307,7575,9287,3353,5310,1398,726
109,26,37,57,249817,41836,23418,2063,13523,3221,1897,1745
110,0,37,57,334699,25529,3897,4170,6417,2517,919,237
111,0,44,56,1590563,62336,16188,13315,6112,3394,1387,387
112,0,51,54,196555,44173,12576,15493,5615,2647,2375,421
113,0,43,61,2608857,120358,22014,5812,34287,13825,9983,1405
114,0,56,56,510711,40166,31891,13885,5615,3186,1489,179
115,0,54,56,1980449,178706,15097,47825,18443,8063,3140,1834
116,0,56,57,2027594,69851,23626,31036,11530,6647,5134,1458
117,0,54,47,1893366,299873,31582,13741,7499,8057,13935,1571
118,0,50,51,2348029,41393,6993,28512,15611,5744,2985,2633
119,0,50,57,402018,19231,978,7574,3023,2029,1159,385
120,0,41,63,1192449,133465,24714,15930,21684,13190,3284,1689
121,0,38,69,459126,61729,4185,3248,4779,3837,999,405
122,0,29,70,1099472,32935,5695,3603,4906,3706,947,1193
123,0,35,63,119631,29916,18862,9182,15098,4538,1545,415
125,0,51,74,1505858,83083,40905,49515,40416,29879,3361,1644
126,0,50,57,601188,233737,46251,1044,5868,4275,2710,1103
127,0,34,64,258369,996776,30277,36329,85733,128396,16063,5135
129,0,27,50,259555,35443,4395,9873,2075,1745,578,332
130,0,34,63,1088213,455557,164410,18709,37372,45022,11685,4400
131,0,34,63,1528985,41954,27029,13643,9313,5760,2469,977
132,26,30,51,637538,7288,1662,2524,1671,2827,438,66
134,26,69,63,889124,15916,17130,10190,4829,5451,772,586
137,0,69,63,170393,44706,27194,5101,7624,7849,2642,1149
138,51,69,63,1155686,165795,123970,120910,109050,56472,25196,21734
139,26,69,63,1188693,65877,6123,3833,15036,7908,3824,4137
140,51,41,78,896394,255539,5216,3887,6724,19497,2294,1628
143,0,20,78,853015,210322,5248,9091,6698,11332,2024,448
144,0,27,70,891866,776540,522936,262743,104338,90226,61945,14531
145,0,27,70,431316,101564,57997,46764,31528,8075,10627,5681
151,26,41,64,791008,40444,5167,20504,30091,4021,2826,1035
154,26,41,64,631545,95343,51164,50578,12738,7090,1765,2242
158,51,43,70,722446,151696,42167,35590,37828,28487,6560,1417
160,51,51,78,930718,42978,31148,14614,10998,6037,3409,1387
162,0,41,67,1541386,101694,13917,2493,38449,5568,4593,1005
162,0,48,69,699011,15178,6820,3143,4429,1499,1024,455
165,0,43,77,405066,36641,24669,7190,28001,9413,1742,1969
168,0,43,77,1974233,947531,336705,147005,272477,233813,14395,13986
171,26,43,77,1168915,44682,14508,5596,2473,14863,17338,7905
176,26,61,60,59159,13208,7583,7939,4966,1164,1050,681
