2019-11-16 05:11:37.957385
Time,Signal,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
2,25,0,0,1,0,0,0,0,0,0,0
3,25,0,0,2008340,28865,17840,22646,17701,8103,4074,2159
4,25,0,0,356076,31407,3941,13750,5099,2482,1062,391
5,0,0,0,34104,17011,524,1877,2057,684,326,313
6,25,0,0,766654,186132,71901,12917,14549,42586,4692,2637
7,26,0,0,283409,25580,5668,6507,4218,4060,3059,1927
8,26,0,0,2572481,147363,50605,26682,14983,14688,6856,5287
9,26,0,0,152868,65541,16108,5637,26776,10557,5475,993
10,0,0,0,649758,54929,3817,7720,7007,6002,1729,2996
11,0,40,51,1314527,49462,2711,14220,9092,9172,1169,1450
12,0,63,61,246893,28032,17887,15835,6048,6822,5508,1002
13,0,56,48,1450643,309816,32818,36989,49126,15573,16095,5789
14,0,78,51,1570424,118054,75174,89867,67382,22974,7985,4301
15,0,83,44,1229433,363306,74052,75896,17742,50537,20724,3289
16,0,64,60,248802,13538,5171,2799,8403,4059,2484,522
17,0,78,78,801597,94575,21933,25873,5636,13578,8778,1215
18,0,48,80,1199027,102063,2707,18574,16357,11512,10185,1289
19,0,41,69,1805855,228331,23526,56843,78460,20138,18638,2432
20,0,47,54,709857,51453,19233,10195,11338,7935,10244,1175
21,0,34,47,2042378,402033,57581,45826,62458,36612,59241,22701
22,0,61,66,1155719,23792,33004,22545,33778,15846,6836,1610
23,0,63,60,2076869,368677,94538,24179,50746,23363,10434,6972
24,0,54,54,264756,18518,4307,2135,3658,2054,1123,586
25,0,60,50,874277,285225,29992,45465,10872,20236,5571,1232
26,0,43,50,294535,15350,7156,3493,13924,7202,2967,1286
27,0,37,83,1623949,23934,13750,18175,57704,82479,4753,5306
28,0,57,75,891168,19358,25238,24996,21746,10735,32498,1751
29,0,57,75,1972639,145734,76952,43834,38398,12966,16988,6073
30,26,57,75,176823,9060,799,3622,2661,5160,2093,861
31,26,57,75,2432303,71033,18022,38836,24617,63130,13283,5232
32,26,64,88,572839,12910,9479,5542,22281,7627,2991,1124
33,0,57,66,1626621,131328,25715,12823,18575,39369,6008,845
34,0,51,37,3109963,148008,22120,13127,81939,19535,16267,5002
35,0,51,26,1113100,17549,32694,2312,11830,2748,1889,1739
36,0,50,17,1069251,195114,66002,24334,31617,33617,12360,5684
37,0,50,17,1200296,47544,19054,9433,44149,15151,5850,1770
38,26,50,17,709449,16671,4453,3927,2912,3444,1040,724
39,25,50,17,1565575,370550,62336,245951,681691,388067,84479,58230
40,51,50,17,695121,32310,6098,1634,3139,5572,1870,223
41,26,50,17,872876,79195,3332,18096,7213,6207,3977,1295
42,26,50,17,2680621,422509,399466,127836,229741,161583,107639,22964
43,26,50,17,476365,131757,32910,21159,34980,48571,17972,6021
44,51,50,17,1087673,277734,115248,60285,228837,153790,44892,33994
45,51,50,17,1793990,51737,15770,1285,12991,6665,6219,2196
46,51,50,17,1958296,315444,56079,53618,31706,36325,15425,8834
47,26,50,17,374861,14964,11003,11268,10177,20345,12821,12179
48,26,50,17,192356,8230,348,12831,5617,2162,4017,1324
49,26,50,17,2115123,223959,62161,38192,41985,26951,17879,3590
50,26,50,17,1613863,154404,23521,22690,47935,21911,43706,2628
51,26,50,17,709932,29763,6840,2688,8581,7060,11774,1036
52,26,50,17,345888,231521,27909,37817,47512,26689,27686,38531
