2019-11-21 18:26:17.518093
Time,Signal,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
2,25,0,0,3861,716,381,293,670,1357,1685,315
3,0,0,0,4396,7399,2553,379,2228,9105,3104,2519
4,0,0,0,4519,5408,781,1233,2190,2304,3533,820
5,0,51,30,58294,30987,25260,27682,18106,9038,2704,1418
6,0,48,29,1946280,219849,61300,36713,150433,63625,10644,6986
7,0,57,20,1525187,32434,17670,10503,6991,4911,2001,753
8,0,69,8,358969,40444,33042,9421,9688,6803,9992,522
9,0,67,13,890862,46143,35870,20181,4390,17712,4284,1518
10,0,64,3,184303,52967,3073,7041,2490,4982,3332,2409
11,0,69,7,906800,66865,56230,30895,10985,15511,9207,2523
12,0,61,7,767602,131521,53236,16567,37782,17670,9121,6093
13,0,60,11,1839931,50161,38135,20697,8280,29319,12393,4591
14,0,69,34,751947,27936,13014,13644,4587,44528,6161,7578
15,0,38,34,725697,331051,3774,18184,25053,32931,12096,3261
16,0,38,35,553510,45762,16865,5818,5825,7626,4761,1741
17,0,34,16,460534,67319,26108,8301,12985,3872,3882,1421
18,0,20,1,171047,89654,7523,3346,3459,7842,3248,1004
19,0,43,14,4302,5147,7603,8912,20644,17694,18078,3517
20,0,34,11,471241,355553,55115,34258,74503,30737,17543,3122
21,0,23,24,79554,11332,970,1303,472,2450,849,417
22,0,24,17,410511,312089,27793,9254,2132,6261,3374,537
23,0,10,1,1023796,275270,31711,11558,34504,18788,19972,5212
24,0,14,4,376472,172594,18808,36639,12660,21700,23058,5030
25,0,7,1,64402,14080,1131,260,1898,845,899,257
26,0,1,35,11884,19825,4239,2692,8116,51092,10026,6974
27,0,14,40,321708,16836,5385,2698,2244,2965,970,299
28,0,24,50,269129,31854,36792,5584,19756,21712,8796,7558
29,0,29,61,425959,54780,8256,1624,15050,14284,7443,7586
30,0,30,51,23927,21379,1955,3913,17992,15098,12067,6938
